0,1
1,2
1,3
1,4
3,4
4,5
4,6
4,7
4,8
9,3
10,11
11,12
10,12
12,13
12,13
11,14
15,11
16,15
11,17
11,18
17,18
19,18
19,20
20,21
20,18
21,18
20,22
22,23
23,26
23,25
23,24
25,27
28,25
28,26
28,24
28,29
29,30
30,31
29,31
33,30
40,42
37,42
38,42
42,43
40,45
43,44
33,32
34,32
34,35
36,34
36,38
36,37
34,37
32,37
32,40
37,38
38,36
37,40
37,39
40,39
44,46
46,47
47,48
46,48
48,50
48,51
51,49
51,52
51,53
49,59
51,59
53,54
53,59
53,55
56,53
55,56
56,58
56,57
46,60
46,61
61,62
61,63
61,64
61,65
64,65
65,66
65,67
67,68
68,69
69,70
69,71
42,72
42,73
72,73
72,74
74,73
74,75
74,76
75,76
76,77
74,77
76,78
76,79
79,78
79,80
