334,153
378,252
346,305
499,253
439,299
423,335
423,369
459,379
427,407
551,303
609,241
695,273
675,195
693,47
627,391
683,387
641,469
741,361
827,279
917,355
1013,277
938,199
1050,194
1173,277
1275,319
1302,197
1326,262
1380,56
1432,233
1460,272
1583,252
1532,200
1716,256
1628,196
1764,344
1684,408
1888,388
1876,292
1916,356
1920,192
2076,220
1796,192
2104,292
2096,440
2104,576
2072,52
2088,632
1932,616
1856,652
1696,624
1864,804
1692,696
1676,812
1476,680
1484,804
1400,620
1280,660
1280,808
1092,644
1548,580
2062,813
2254,641
2258,805
2242,581
2338,593
2454,633
2458,809
2598,637
2686,685
2638,749
2612,859
2736,843
2256,287
2296,203
2476,291
2620,203
2740,311
2760,395
2848,311
2800,191
2764,63
