334,153,0,0
378,252,0,
346,305,0,1
499,253,0,1
439,299,0,1
423,335,0,
423,369,0,
459,379,0,
427,407,0,
551,303,0,1
609,241,0,
695,273,0,
675,195,0,
693,47,0,
627,391,0,6
683,387,0,6
641,469,0,6
741,361,0,
827,279,0,
917,355,0,
1013,277,0,
938,199,0,
1050,194,0,
1173,277,0,
1275,319,0,
1302,197,0,
1326,262,0,
1380,56,0,5
1432,233,0,
1460,272,0,
1583,252,0,6
1532,200,0,6
1716,256,0,
1628,196,0,
1764,344,0,
1684,408,0,
1888,388,0,0
1876,292,0,
1916,356,0,
1920,192,0,6
2076,220,0,
1796,192,0,6
2104,292,0,
2096,440,0,
2104,576,0,
2072,52,0,5
2088,632,0,
1932,616,0,0
1856,652,0,
1696,624,0,
1864,804,0,0
1692,696,0,
1676,812,0,0
1476,680,0,
1484,804,0,0
1400,620,0,
1280,660,0,
1280,808,0,0
1092,644,0,3
1548,580,0,0
2062,813,0,
2254,641,0,
2258,805,0,0
2242,581,0,0
2338,593,0,
2454,633,0,
2458,809,0,0
2598,637,0,
2686,685,0,6
2638,749,0,
2612,859,0,
2736,843,0,1
2256,287,0,
2296,203,0,0
2476,291,0,
2620,203,0,6
2740,311,0,
2760,395,0,0
2848,311,0,0
2800,191,0,
2764,63,0,5
931,624,0,3
975,661,0,3
859,676,0,4
820,717,0,3
897,804,0,3
798,807,0,3
736,865,0,
663,892,0,
620,828,0,
600,901,0,
537,921,0,
549,844,0,
589,817,0,
589,735,0,
466,912,0,
474,985,0,
424,985,0,0
430,837,0,1
430,796,0,1
475,736,0,
354,871,0,1
1513,326,0,0
1540,326,0,0
1564,326,0,0
1585,326,0,0
1612,326,0,0
1636,326,0,0
1669,326,0,0
2796,819,0,1
2796,921,0,1
2712,974,0,
3072,986,0,1
3072,1040,0,1
3072,1062,0,1
3564,992,0,5
