3584,2664,140
3640,2720,140
3722,2712,140
3695,2768,140
3695,2871,140
3739,2990,140
3641,2991,140
3685,3090,140
3581,3081,140
3479,3041,140
3460,2970,140
3542,2991,140
3488,2919,140
3488,2888,140
3641,3213,140
3760,3215,140
3641,3546,140
3792,3672,140
3660,3768,140
3756,3768,140
3796,3884,140
3700,3992,140
3728,4228,140
3844,4196,140
3612,4208,140
3676,4356,140
3552,4356,140
3560,4416,140
3652,4516,140
3796,4528,140
3760,4620,140
3572,4876,140
3572,5196,140
3556,5872,140
3685,5938,140
3770,6082,140
3544,6094,140
3648,6096,140
3596,6248,140
3736,6256,140
3578,6351,140
3741,6387,140
3662,6513,140
3549,6537,140
3777,6537,140
3440,6808,140
3896,6808,140
